Timestamp: Tue Nov 02 22:27:05 2021
16
33
0.000000;0.000000;0.010000;Point_1;true
0.000000;0.200000;0.010000;Point_2;true
0.000000;0.400000;0.010000;Point_3;true
0.000000;0.600000;0.010000;Point_4;true
0.200000;0.000000;0.010000;Point_5;false
0.200000;0.200000;0.010000;Point_6;false
0.200000;0.400000;0.010000;Point_7;false
0.200000;0.600000;0.010000;Point_8;false
0.400000;0.000000;0.010000;Point_9;false
0.400000;0.200000;0.010000;Point_10;false
0.400000;0.400000;0.010000;Point_11;false
0.400000;0.600000;0.010000;Point_12;false
0.600000;0.000000;0.010000;Point_13;false
0.600000;0.200000;0.010000;Point_14;false
0.600000;0.400000;0.010000;Point_15;false
0.600000;0.600000;0.010000;Point_16;false
Point_1;Point_2;10000.000000;0.000000;0.200000;Spring_1
Point_2;Point_3;10000.000000;0.000000;0.200000;Spring_2
Point_3;Point_4;10000.000000;0.000000;0.200000;Spring_3
Point_1;Point_5;10000.000000;0.000000;0.200000;Spring_4
Point_2;Point_5;10000.000000;0.000000;0.282843;Spring_5
Point_5;Point_6;10000.000000;0.000000;0.200000;Spring_6
Point_2;Point_6;10000.000000;0.000000;0.200000;Spring_7
Point_3;Point_6;10000.000000;0.000000;0.282843;Spring_8
Point_6;Point_7;10000.000000;0.000000;0.200000;Spring_9
Point_3;Point_7;10000.000000;0.000000;0.200000;Spring_10
Point_4;Point_7;10000.000000;0.000000;0.282843;Spring_11
Point_7;Point_8;10000.000000;0.000000;0.200000;Spring_12
Point_4;Point_8;10000.000000;0.000000;0.200000;Spring_13
Point_5;Point_9;10000.000000;0.000000;0.200000;Spring_14
Point_6;Point_9;10000.000000;0.000000;0.282843;Spring_15
Point_9;Point_10;10000.000000;0.000000;0.200000;Spring_16
Point_6;Point_10;10000.000000;0.000000;0.200000;Spring_17
Point_7;Point_10;10000.000000;0.000000;0.282843;Spring_18
Point_10;Point_11;10000.000000;0.000000;0.200000;Spring_19
Point_7;Point_11;10000.000000;0.000000;0.200000;Spring_20
Point_8;Point_11;10000.000000;0.000000;0.282843;Spring_21
Point_11;Point_12;10000.000000;0.000000;0.200000;Spring_22
Point_8;Point_12;10000.000000;0.000000;0.200000;Spring_23
Point_9;Point_13;10000.000000;0.000000;0.200000;Spring_24
Point_10;Point_13;10000.000000;0.000000;0.282843;Spring_25
Point_13;Point_14;10000.000000;0.000000;0.200000;Spring_26
Point_10;Point_14;10000.000000;0.000000;0.200000;Spring_27
Point_11;Point_14;10000.000000;0.000000;0.282843;Spring_28
Point_14;Point_15;10000.000000;0.000000;0.200000;Spring_29
Point_11;Point_15;10000.000000;0.000000;0.200000;Spring_30
Point_12;Point_15;10000.000000;0.000000;0.282843;Spring_31
Point_15;Point_16;10000.000000;0.000000;0.200000;Spring_32
Point_12;Point_16;10000.000000;0.000000;0.200000;Spring_33
